UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA;ESTADO_MESA;UBICACION_EN_CEDULA;TIPO_AGRUPACION;CODIGO_AGRUPACION;AGRUPACION_POLITICA;VOTOS_OBTENIDOS;ELECTORES_HABILES;VOTOS_BLANCOS;VOTOS_NULOS;VOTOS_IMPUG
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;243480;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;47;297;6;11;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;243480;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;9;297;6;11;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;243480;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;25;297;6;11;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;256213;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;72;296;3;3;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;256213;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;43;296;3;3;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;256213;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;38;296;3;3;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;256213;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;15;296;3;3;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;256213;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;19;296;3;3;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289620;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;32;296;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289620;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;26;296;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289620;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;41;296;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289620;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;16;296;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289620;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;18;296;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289621;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;53;296;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289621;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;40;296;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289621;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;33;296;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289621;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;9;296;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289621;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;25;296;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289623;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;63;296;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289623;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;34;296;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289623;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;42;296;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289623;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;16;296;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289623;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;19;296;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289627;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;66;298;6;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289627;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;36;298;6;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289627;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;34;298;6;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289627;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;17;298;6;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289627;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;14;298;6;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289629;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;51;296;4;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289629;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;47;296;4;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289629;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;36;296;4;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289629;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;15;296;4;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;289629;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;17;296;4;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900032;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;5;209;6;19;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900032;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;6;209;6;19;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900032;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;10;209;6;19;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900032;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;82;209;6;19;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900032;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;60;209;6;19;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900033;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;2;209;2;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900033;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;8;209;2;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900033;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;2;209;2;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900033;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;102;209;2;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900033;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;62;209;2;9;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900034;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;1;209;2;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900034;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;15;209;2;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900034;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;3;209;2;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900034;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;107;209;2;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900034;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;65;209;2;5;0
